id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1483;160033;Above the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
1484;161344;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1485;113300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1486;171323;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1487;140058;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Below the national average;2017-05-20
1488;170075;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1489;161343;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1490;181310;Same as the national average;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1491;190256;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1492;111325;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1493;220049;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1494;161323;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1495;123301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1496;210033;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1497;140043;Above the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1498;190011;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;2017-05-20
1499;201313;Same as the national average;Same as the national average;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1500;150091;Not Available;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1501;161305;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1502;210015;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1503;110225;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1504;140206;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1505;150018;Above the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1506;140127;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
1507;181314;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1508;220008;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1509;130006;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1510;120019;Not Available;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1511;131320;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
