id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1873;180045;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
1874;190167;Below the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
1875;201306;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1876;131309;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1877;110233;Not Available;Not Available;Same as the national average;Above the national average;Not Available;Same as the national average;Not Available;2017-05-20
1878;140091;Same as the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1879;201304;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1880;170103;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1881;190133;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1882;140304;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1883;190044;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1884;180013;Above the national average;Below the national average;Below the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
1885;191311;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1886;161317;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1887;170194;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1888;170188;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1889;210049;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1890;210027;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1891;160040;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1892;170023;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1893;150022;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1894;151302;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1895;160117;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1896;170201;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1897;140167;Below the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1898;121306;Not Available;Above the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1899;140080;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
1900;180038;Below the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1901;150112;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1902;150044;Below the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1903;210038;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1904;140067;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Below the national average;2017-05-20
1905;141326;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1906;190190;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1907;160104;Not Available;Above the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1908;150065;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1909;141311;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1910;190202;Below the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1911;141322;Not Available;Above the national average;Same as the national average;Above the national average;Above the national average;Not Available;Same as the national average;2017-05-20
1912;201305;Not Available;Below the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1913;150015;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1914;150072;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1915;171329;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1916;161356;Below the national average;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1917;180021;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;2017-05-20
1918;140280;Above the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;2017-05-20
1919;191310;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1920;130007;Above the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1921;201314;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Not Available;Same as the national average;2017-05-20
1922;161313;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1923;161347;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1924;180130;Above the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1925;140088;Above the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1926;220070;Above the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
1927;170020;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
1928;180049;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1929;111330;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1930;131321;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1931;140172;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Above the national average;2017-05-20
1932;191302;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1933;131326;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1934;150113;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;2017-05-20
1935;141324;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1936;200041;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1937;171371;Same as the national average;Same as the national average;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1938;150042;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;2017-05-20
1939;180078;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1940;130025;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1941;123300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1942;141319;Same as the national average;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1943;131311;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1944;140084;Same as the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1945;161310;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1946;220024;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1947;150177;Not Available;Not Available;Same as the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1948;171315;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1949;140130;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;2017-05-20
1950;140012;Same as the national average;Above the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1951;161373;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1952;161318;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1953;140062;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Above the national average;2017-05-20
1954;140224;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Above the national average;2017-05-20
1955;110236;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1956;140160;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1957;180102;Same as the national average;Above the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Below the national average;2017-05-20
1958;140119;Same as the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
1959;161332;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1960;150021;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
1961;160112;Not Available;Above the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1962;190039;Below the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1963;171317;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1964;220033;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Above the national average;2017-05-20
1965;171321;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1966;140185;Above the national average;Below the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
1967;180040;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1968;111310;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1969;111336;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1970;190081;Not Available;Same as the national average;Below the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1971;190199;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1972;110165;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1973;170190;Not Available;Not Available;Same as the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1974;160001;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1975;140276;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1976;160057;Below the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1977;190099;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1978;151308;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1979;171347;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1980;111318;Not Available;Same as the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1981;190005;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1982;160028;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1983;173300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1984;180070;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1985;181311;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1986;191322;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1987;171375;Not Available;Not Available;Not Available;Above the national average;Below the national average;Not Available;Same as the national average;2017-05-20
1988;121301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1989;171353;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1990;181307;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1991;171308;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1992;150045;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1993;181327;Not Available;Above the national average;Same as the national average;Above the national average;Below the national average;Not Available;Same as the national average;2017-05-20
1994;171349;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1995;111316;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1996;190242;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1997;171357;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1998;141351;Not Available;Not Available;Not Available;Same as the national average;Below the national average;Not Available;Same as the national average;2017-05-20
1999;140053;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
2000;210032;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2001;161363;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2002;210008;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2003;171307;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2004;170049;Above the national average;Above the national average;Same as the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
2005;190274;Below the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2006;151322;Below the national average;Not Available;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2007;131325;Not Available;Not Available;Same as the national average;Same as the national average;Above the national average;Not Available;Same as the national average;2017-05-20
2008;190268;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2009;150101;Not Available;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2010;190303;Not Available;Not Available;Same as the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
2011;181320;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2012;161322;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
2013;161342;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2014;150153;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
2015;180153;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2016;160005;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2017;171300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2018;110192;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
2019;160069;Not Available;Above the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2020;191301;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2021;181328;Not Available;Same as the national average;Not Available;Not Available;Below the national average;Not Available;Same as the national average;2017-05-20
2022;161359;Same as the national average;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2023;161360;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2024;161374;Not Available;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2025;171328;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
2026;190125;Below the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
2027;151309;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2028;161352;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2029;190302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2030;171330;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2031;161353;Same as the national average;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2032;140032;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
2033;140176;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
2034;150126;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2035;190118;Same as the national average;Above the national average;Below the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2036;140033;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
2037;150100;Above the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2038;140240;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2039;181324;Same as the national average;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2040;181302;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Not Available;2017-05-20
2041;190297;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Not Available;2017-05-20
2042;151303;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2043;140034;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
2044;220002;Same as the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Same as the national average;Above the national average;2017-05-20
2045;121304;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2046;181304;Not Available;Same as the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2047;150162;Same as the national average;Below the national average;Above the national average;Above the national average;Above the national average;Above the national average;Above the national average;2017-05-20
2048;110209;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2049;161361;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2050;140166;Same as the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
2051;220020;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
2052;151317;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2053;161351;Not Available;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2054;110198;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
2055;143302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2056;151332;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2057;150167;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
2058;161337;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2059;161350;Same as the national average;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2060;141334;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2061;190040;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2062;171346;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2063;220030;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Above the national average;2017-05-20
2064;150074;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Below the national average;2017-05-20
2065;180067;Above the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
2066;220060;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;2017-05-20
2067;131308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2068;161341;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2069;121300;Not Available;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Not Available;2017-05-20
2070;151301;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2071;141350;Same as the national average;Not Available;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2072;210040;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2073;141315;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2074;161371;Not Available;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2075;171302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2076;190014;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
2077;171379;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2078;180025;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2079;110187;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2080;171368;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2081;140209;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
2082;111308;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
2083;190204;Same as the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2084;151334;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2085;111320;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2086;180128;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
2087;190128;Not Available;Above the national average;Same as the national average;Above the national average;Not Available;Same as the national average;Not Available;2017-05-20
2088;171351;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2089;190013;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
2090;140101;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2091;220017;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2092;141343;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2093;190111;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Below the national average;Above the national average;2017-05-20
2094;141323;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2095;190006;Below the national average;Below the national average;Same as the national average;Above the national average;Not Available;Same as the national average;Not Available;2017-05-20
2096;180048;Below the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
2097;200063;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2098;171384;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2099;181330;Below the national average;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2100;210006;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2101;171316;Below the national average;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
2102;110215;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
2103;150084;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
2104;141332;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2105;111334;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2106;150182;Not Available;Not Available;Same as the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
2107;181316;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2108;140182;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
2109;191319;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2110;141312;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2111;111314;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
2112;150002;Below the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;2017-05-20
2113;131315;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
2114;140292;Same as the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
2115;161368;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
2116;140064;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Below the national average;2017-05-20
2117;161358;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
2118;130014;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
